,gw_euid,mvt,ts,node_euid,place,sub_type
250,000D6F000C362FB5,5,2017-06-11 03:06:22,00158D000113037E,87,3
423,000D6F000C362FB5,6,2017-06-11 03:06:24,00158D000113037E,87,3
4479,000D6F000C362FB5,18,2017-06-11 03:06:41,00158D00015A9894,4,20
4478,000D6F000C362FB5,18,2017-06-11 03:07:24,00158D0000E7C56E,29,20
4477,000D6F000C362FB5,18,2017-06-11 03:07:25,00158D00010AD2F0,17,20
4476,000D6F000C362FB5,18,2017-06-11 03:09:00,00158D0000E7C56E,29,20
4475,000D6F000C362FB5,18,2017-06-11 03:09:50,00158D0001599CC2,46,20
4474,000D6F000C362FB5,18,2017-06-11 03:15:09,00158D0000E7C56E,29,20
4473,000D6F000C362FB5,18,2017-06-11 03:15:21,00158D00015A9894,4,20
4472,000D6F000C362FB5,18,2017-06-11 03:15:55,00158D00010AD2F0,17,20
4471,000D6F000C362FB5,18,2017-06-11 03:16:20,00158D0000E7C56E,29,20
4470,000D6F000C362FB5,18,2017-06-11 03:16:36,00158D00015A9894,4,20
4469,000D6F000C362FB5,18,2017-06-11 03:16:49,00158D0001599CC2,46,20
4468,000D6F000C362FB5,18,2017-06-11 03:32:39,00158D0000E7C56E,29,20
4467,000D6F000C362FB5,18,2017-06-11 03:32:55,00158D00010AD2F0,17,20
4466,000D6F000C362FB5,18,2017-06-11 03:33:16,00158D00015A9894,4,20
4465,000D6F000C362FB5,18,2017-06-11 03:33:21,00158D0000F430BD,5,20
4464,000D6F000C362FB5,18,2017-06-11 03:33:58,00158D0000E7C56E,29,20
4463,000D6F000C362FB5,18,2017-06-11 03:33:59,00158D00010AD2F0,17,20
4462,000D6F000C362FB5,18,2017-06-11 03:34:18,00158D00015A9894,4,20
4461,000D6F000C362FB5,18,2017-06-11 03:35:00,00158D0000E7C56E,29,20
4460,000D6F000C362FB5,18,2017-06-11 03:35:03,00158D0001599CC2,46,20
4459,000D6F000C362FB5,18,2017-06-11 03:52:06,00158D0000E7C56E,29,20
4458,000D6F000C362FB5,18,2017-06-11 03:52:17,00158D00015A9894,4,20
4457,000D6F000C362FB5,18,2017-06-11 03:52:29,00158D00010AD2F0,17,20
4456,000D6F000C362FB5,18,2017-06-11 03:52:46,00158D00015A992B,46,20
4455,000D6F000C362FB5,18,2017-06-11 03:53:07,00158D0000E7C56E,29,20
4454,000D6F000C362FB5,18,2017-06-11 03:53:09,00158D0001599CC2,46,20
4453,000D6F000C362FB5,18,2017-06-11 03:58:25,00158D0000E7C56E,29,20
4452,000D6F000C362FB5,18,2017-06-11 03:58:38,00158D00015A9894,4,20
4451,000D6F000C362FB5,18,2017-06-11 03:58:51,00158D00010AD2F0,17,20
4450,000D6F000C362FB5,18,2017-06-11 04:03:40,00158D0001599CC2,46,20
4449,000D6F000C362FB5,18,2017-06-11 04:03:45,00158D0000E7C56E,29,20
4448,000D6F000C362FB5,18,2017-06-11 04:04:40,00158D0001599CC2,46,20
4447,000D6F000C362FB5,18,2017-06-11 04:09:07,00158D0000E7C56E,29,20
4446,000D6F000C362FB5,18,2017-06-11 04:09:19,00158D00010AD2F0,17,20
4445,000D6F000C362FB5,18,2017-06-11 04:10:03,00158D0000F430BD,5,20
4444,000D6F000C362FB5,18,2017-06-11 04:10:24,00158D00015A9894,4,20
4443,000D6F000C362FB5,18,2017-06-11 04:12:08,00158D0000F430BD,5,20
47,000D6F000C362FB5,1,2017-06-11 04:12:35,00124B0008EBB9AA,5,1
4442,000D6F000C362FB5,18,2017-06-11 12:49:38,00158D0000E7C56E,29,20
115,000D6F000C362FB5,2,2017-06-11 12:49:41,00124B0008EBB9AA,5,1
4441,000D6F000C362FB5,18,2017-06-11 12:57:57,00158D0001599CC2,46,20
4440,000D6F000C362FB5,18,2017-06-11 13:03:35,00158D0000E7C56E,29,20
4439,000D6F000C362FB5,18,2017-06-11 13:07:39,00158D00015A992B,46,20
4438,000D6F000C362FB5,18,2017-06-11 13:08:26,00158D0000E7C56E,29,20
4437,000D6F000C362FB5,18,2017-06-11 13:09:15,00158D0001599CC2,46,20
4436,000D6F000C362FB5,18,2017-06-11 13:11:02,00158D0000E7C56E,29,20
4435,000D6F000C362FB5,18,2017-06-11 13:11:58,00158D0001599CC2,46,20
4434,000D6F000C362FB5,18,2017-06-11 13:16:18,00158D0000E7C56E,29,20
4433,000D6F000C362FB5,18,2017-06-11 13:23:55,00158D0001599CC2,46,20
4432,000D6F000C362FB5,18,2017-06-11 13:32:19,00158D0000E7C56E,29,20
4431,000D6F000C362FB5,18,2017-06-11 13:38:40,00158D00015A9894,4,20
4430,000D6F000C362FB5,18,2017-06-11 13:40:35,00158D0000F430BD,5,20
4429,000D6F000C362FB5,18,2017-06-11 13:43:40,00158D0000E7C56E,29,20
4428,000D6F000C362FB5,18,2017-06-11 13:43:49,00158D0001599CC2,46,20
4427,000D6F000C362FB5,18,2017-06-11 13:56:29,00158D0000E7C56E,29,20
4426,000D6F000C362FB5,18,2017-06-11 14:00:00,00158D0000F430BD,5,20
46,000D6F000C362FB5,1,2017-06-11 14:00:12,00124B0008EBB9AA,5,1
114,000D6F000C362FB5,2,2017-06-11 14:01:24,00124B0008EBB9AA,5,1
4425,000D6F000C362FB5,18,2017-06-11 14:04:22,00158D00015A9894,4,20
4424,000D6F000C362FB5,18,2017-06-11 14:05:27,00158D0000E7C56E,29,20
4423,000D6F000C362FB5,18,2017-06-11 14:05:31,00158D0001599CC2,46,20
4422,000D6F000C362FB5,18,2017-06-11 14:07:58,00158D0000E7C56E,29,20
4421,000D6F000C362FB5,18,2017-06-11 14:09:40,00158D0001599CC2,46,20
4420,000D6F000C362FB5,18,2017-06-11 14:16:52,00158D0000E7C56E,29,20
4419,000D6F000C362FB5,18,2017-06-11 14:16:57,00158D00010AD2F0,17,20
4418,000D6F000C362FB5,18,2017-06-11 14:17:24,00158D00015A992B,46,20
4417,000D6F000C362FB5,18,2017-06-11 14:18:01,00158D0000E7C56E,29,20
4416,000D6F000C362FB5,18,2017-06-11 14:18:04,00158D0001599CC2,46,20
4415,000D6F000C362FB5,18,2017-06-11 14:21:14,00158D0000E7C56E,29,20
4414,000D6F000C362FB5,18,2017-06-11 14:22:45,00158D0001599CC2,46,20
4413,000D6F000C362FB5,18,2017-06-11 15:03:07,00158D0000E7C56E,29,20
4412,000D6F000C362FB5,18,2017-06-11 15:05:53,00158D0001599CC2,46,20
4411,000D6F000C362FB5,18,2017-06-11 15:06:00,00158D0000E7C56E,29,20
4410,000D6F000C362FB5,18,2017-06-11 15:14:25,00158D0001599CC2,46,20
4409,000D6F000C362FB5,18,2017-06-11 15:14:32,00158D0000E7C56E,29,20
4408,000D6F000C362FB5,18,2017-06-11 15:21:15,00158D0001599CC2,46,20
4407,000D6F000C362FB5,18,2017-06-11 15:34:04,00158D0000E7C56E,29,20
4406,000D6F000C362FB5,18,2017-06-11 15:34:07,00158D00015A992B,46,20
4405,000D6F000C362FB5,18,2017-06-11 15:48:58,00158D0000E7C56E,29,20
4404,000D6F000C362FB5,18,2017-06-11 15:49:03,00158D00015A992B,46,20
4403,000D6F000C362FB5,18,2017-06-11 15:50:25,00158D0000E7C56E,29,20
4402,000D6F000C362FB5,18,2017-06-11 15:50:33,00158D00015A992B,46,20
4401,000D6F000C362FB5,18,2017-06-11 15:55:33,00158D0000E7C56E,29,20
4400,000D6F000C362FB5,18,2017-06-11 15:56:57,00158D00015A992B,46,20
4399,000D6F000C362FB5,18,2017-06-11 15:57:03,00158D0000E7C56E,29,20
4398,000D6F000C362FB5,18,2017-06-11 15:58:20,00158D00015A992B,46,20
4397,000D6F000C362FB5,18,2017-06-11 15:58:25,00158D0000E7C56E,29,20
4396,000D6F000C362FB5,18,2017-06-11 16:00:10,00158D00015A992B,46,20
4395,000D6F000C362FB5,18,2017-06-11 16:00:15,00158D0000E7C56E,29,20
4394,000D6F000C362FB5,18,2017-06-11 16:00:25,00158D0001599CC2,46,20
4393,000D6F000C362FB5,18,2017-06-11 16:03:31,00158D0000E7C56E,29,20
4392,000D6F000C362FB5,18,2017-06-11 16:04:47,00158D0001599CC2,46,20
4391,000D6F000C362FB5,18,2017-06-11 16:05:01,00158D00010AD2F0,17,20
4390,000D6F000C362FB5,18,2017-06-11 16:06:42,00158D0001599CC2,46,20
4389,000D6F000C362FB5,18,2017-06-11 16:06:47,00158D0000E7C56E,29,20
4388,000D6F000C362FB5,18,2017-06-11 16:25:53,00158D0001599CC2,46,20
4387,000D6F000C362FB5,18,2017-06-11 16:47:24,00158D0000E7C56E,29,20
4386,000D6F000C362FB5,18,2017-06-11 16:47:33,00158D00010AD2F0,17,20
4385,000D6F000C362FB5,18,2017-06-11 16:52:31,00158D0001599CC2,46,20
4384,000D6F000C362FB5,18,2017-06-11 16:52:35,00158D0000E7C56E,29,20
4383,000D6F000C362FB5,18,2017-06-11 16:52:37,00158D00015A992B,46,20
4382,000D6F000C362FB5,18,2017-06-11 16:53:36,00158D0000E7C56E,29,20
4381,000D6F000C362FB5,18,2017-06-11 17:13:44,00158D0001599CC2,46,20
4380,000D6F000C362FB5,18,2017-06-11 17:15:35,00158D0000E7C56E,29,20
4379,000D6F000C362FB5,18,2017-06-11 17:15:46,00158D00015A9894,4,20
4378,000D6F000C362FB5,18,2017-06-11 17:17:04,00158D0000E7C56E,29,20
4377,000D6F000C362FB5,18,2017-06-11 17:17:08,00158D0001599CC2,46,20
4376,000D6F000C362FB5,18,2017-06-11 17:21:58,00158D0000E7C56E,29,20
4375,000D6F000C362FB5,18,2017-06-11 17:22:08,00158D00015A9894,4,20
4374,000D6F000C362FB5,18,2017-06-11 17:23:01,00158D0000E7C56E,29,20
4373,000D6F000C362FB5,18,2017-06-11 17:23:05,00158D0001599CC2,46,20
4372,000D6F000C362FB5,18,2017-06-11 17:27:45,00158D0000E7C56E,29,20
4371,000D6F000C362FB5,18,2017-06-11 17:29:55,00158D0001599CC2,46,20
4370,000D6F000C362FB5,18,2017-06-11 17:31:11,00158D0000E7C56E,29,20
4369,000D6F000C362FB5,18,2017-06-11 17:31:14,00158D00015A992B,46,20
4368,000D6F000C362FB5,18,2017-06-11 17:32:01,00158D00010AD2F0,17,20
